main_sent,target
"['PRP', 'VBP']",1
,1
"['NN', 'VBD']",1
,1
"['PRP', 'VBN']",1
"['PRP', 'VBP']",1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
"['PRP', 'VBZ']",1
,1
"['NN', 'VBG']",1
"['PRP', 'VBG']",1
"['PRP', 'VB']",1
"['PRP', 'VBP']",1
"['NN', 'VBN']",1
"['NNS', 'VBN']",1
"['NN', 'VBZ']",1
"['PRP', 'VBD']",1
"['PRP', 'VBD']",1
"['NNS', 'VBP']",1
"['DT', 'VBP']",1
"['DT', 'VBZ']",1
"['NNS', 'VB']",1
"['DT', 'VBZ']",1
"['NNS', 'VBP']",1
"['NN', 'VBZ']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
,1
"['PRP', 'VB']",1
"['PRP', 'VBZ']",1
"['NNS', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'VB']",1
"['PRP', 'NNS']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['RB', 'VBD']",1
"['NNS', 'VBP']",1
"['PRP', 'VB']",1
"['NN', 'VBD']",1
"['PRP', 'VBP']",1
"['PRP', 'VBP']",1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
"['PRP', 'VBP']",1
"['NN', 'VB']",1
"['PRP', 'VB']",1
"['DT', 'VB']",1
,1
"['PRP', 'VBD']",1
"['PRP', 'VBN']",1
"['NNP', 'VBZ']",1
,1
"['PRP', 'VBP']",1
"['PRP', 'VBZ']",1
"['PRP', 'JJ']",1
"['PRP', 'VBP']",1
"['NN', 'VB']",1
"['PRP', 'VBD']",1
"['NNS', 'VB']",1
"['PRP', 'VB']",1
"['WDT', 'VBZ']",1
"['PRP', 'VB']",1
"['PRP', 'VBN']",1
"['NNS', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'VBZ']",1
"['PRP', 'VB']",1
"['PRP', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'VBD']",1
"['NN', 'VBZ']",1
"['NN', 'VB']",1
"['NN', 'VB']",1
"['NN', 'VBN']",1
"['DT', 'VBD']",1
"['PRP', 'VBD']",1
"['PRP', 'VBP']",1
"['WDT', 'VB']",1
,1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
"['WP', 'NNS']",1
"['NNS', 'VBD']",1
,1
"['PRP', 'VBZ']",1
"['DT', 'VBP']",1
"['PRP', 'VB']",1
"['NN', 'VBD']",1
"['PRP', 'VBD']",1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
"['PRP', 'VB']",1
"['PRP', 'VBP']",1
"['DT', 'VBN']",1
"['DT', 'VB']",1
"['DT', 'VBZ']",1
"['PRP', 'VB']",1
"['NN', 'VBD']",1
"['PRP', 'VBZ']",1
"['DT', 'VBZ']",1
,1
"['NN', 'VB']",1
"['PRP', 'VBP']",1
"['NNS', 'VBD']",1
"['NNS', 'IN']",1
"['PRP', 'VBP']",1
"['PRP', 'VBP']",1
"['PRP', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
,1
"['NN', 'VBZ']",1
"['DT', 'VBP']",1
"['DT', 'VBZ']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'VB']",1
,1
"['PRP', 'VBP']",1
,1
"['NNS', 'VBD']",1
"['DT', 'VB']",1
"['PRP', 'VBP']",1
,1
"['NN', 'VB']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
"['PRP', 'VB']",1
"['PRP', 'VBP']",1
"['PRP', 'VBZ']",1
,1
"['NNS', 'VBN']",1
"['NNS', 'NNS']",1
"['PRP', 'VB']",1
"['NNS', 'VB']",1
"['NN', 'VBZ']",1
"['PRP', 'VBN']",1
"['PRP', 'VB']",1
"['NNP', 'VBD']",1
"['DT', 'VBZ']",1
"['NN', 'VBZ']",1
"['PRP', 'VBD']",1
,1
"['CD', 'VBZ']",1
,1
"['NN', 'VBZ']",1
"['NN', 'VBP']",1
,1
"['NN', 'VBZ']",1
"['NN', 'VBZ']",1
"['PRP', 'VBG']",1
"['NN', 'VBZ']",1
"['NN', 'VBD']",1
"['DT', 'VBZ']",1
"['NN', 'VBZ']",1
"['NN', 'VB']",1
"['NN', 'VBZ']",1
"['WDT', 'VBD']",1
"['NN', 'VBZ']",1
"['WP', 'VBG']",1
"['PRP', 'VB']",1
"['NNS', 'VBN']",1
"['NN', 'VBN']",1
"['NN', 'VBZ']",1
"['NNS', 'VBZ']",1
,1
"['WDT', 'VBP']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
"['PRP', 'IN']",1
"['PRP', 'VBP']",1
"['JJS', 'VBP']",1
"['PRP', 'VBP']",1
"['NNS', 'VB']",1
"['NN', 'VB']",1
"['NN', 'VB']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
"['DT', 'VBZ']",1
"['NN', 'VBZ']",1
"['PRP', 'VBD']",1
"['NNS', 'VB']",1
"['PRP', 'VBD']",1
"['NN', 'VBZ']",1
"['NNS', 'VBP']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBP']",1
"['NN', 'VBD']",1
"['DT', 'VBZ']",1
"['PRP', 'VBP']",1
"['NN', 'VB']",1
"['NNS', 'VBD']",1
"['NN', 'VBZ']",1
"['PRP', 'VBD']",1
"['NNS', 'VBD']",1
"['NNS', 'VBP']",1
"['NNS', 'IN']",1
"['PRP', 'VBP']",1
"['NNS', 'VBP']",1
"['WDT', 'VB']",1
,1
"['DT', 'VBP']",1
"['DT', 'VBZ']",1
"['WP', 'VBP']",1
"['PRP', 'VBD']",1
"['NNS', 'VBP']",1
"['DT', 'VBZ']",1
"['PRP', 'VBG']",1
,1
,1
"['CD', 'VBZ']",1
"['NNS', 'VBP']",1
"['PRP', 'VBP']",1
"['NNS', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['DT', 'VB']",1
"['NN', 'VBD']",1
"['NN', 'VB']",1
"['PRP', 'VBZ']",1
"['WDT', 'NN']",1
"['PRP', 'VBZ']",1
"['NN', 'VBZ']",1
"['NN', 'VBZ']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBP']",1
"['DT', 'VBZ']",1
"['WP', 'VBN']",1
"['NNS', 'VB']",1
"['PRP', 'VBZ']",1
"['NNS', 'VB']",1
"['NN', 'VBN']",1
,1
"['PRP', 'VBD']",1
"['PRP', 'VB']",1
,1
"['PRP', 'VB']",1
"['DT', 'VBZ']",1
"['NN', 'VBG']",1
"['NN', 'VBZ']",1
"['PRP', 'VBG']",1
"['DT', 'VBZ']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
,1
"['DT', 'VBZ']",1
"['PRP', 'VBD']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBZ']",1
"['NN', 'VBZ']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['PRP', 'VBZ']",1
"['NN', 'VBZ']",1
"['VBG', 'VBZ']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['NN', 'VBD']",1
"['PRP', 'IN']",1
"['PRP', 'VBN']",1
"['PRP', 'VBP']",1
"['NN', 'VBD']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
"['WDT', 'VBP']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
"['PRP', 'VBZ']",1
"['NNS', 'VBN']",1
"['PRP', 'VB']",1
"['DT', 'VBZ']",1
"['NN', 'VBZ']",1
"['NN', 'VBZ']",1
"['DT', 'VBZ']",1
"['NNS', 'VB']",1
"['PRP', 'VB']",1
,1
,1
"['PRP', 'VBZ']",1
"['WDT', 'VBP']",1
"['NN', 'NN']",1
"['WDT', 'RB']",1
"['PRP', 'VB']",1
"['NNS', 'VBP']",1
"['PRP', 'VB']",1
"['PRP', 'VBD']",1
"['PRP', 'VB']",1
"['NN', 'VBG']",1
"['VBG', 'VBZ']",1
"['NNS', 'VBP']",1
"['PRP', 'VB']",1
"['PRP', 'VBP']",1
"['NNS', 'VB']",1
"['NNS', 'VB']",1
"['PRP', 'VBG']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBP']",1
"['NN', 'VBZ']",1
"['DT', 'VBN']",1
"['NN', 'VB']",1
"['NN', 'VB']",1
,1
"['DT', 'VBZ']",1
"['PRP', 'NN']",1
"['NNS', 'VBD']",1
"['NNS', 'VBP']",1
"['NN', 'VBD']",1
"['PRP', 'VBD']",1
"['PRP', 'VB']",1
"['NN', 'VB']",1
"['PRP', 'VBP']",1
"['NNS', 'VBD']",1
"['PRP', 'VBZ']",1
"['NN', 'VBZ']",1
,1
"['NN', 'VBZ']",1
"['NNS', 'VBN']",1
"['NNS', 'VBG']",1
"['NNS', 'VBP']",1
"['DT', 'VBZ']",1
"['NNS', 'VB']",1
"['WDT', 'NNS']",1
"['NN', 'VBD']",1
"['PRP', 'VBP']",1
"['NNS', 'VBP']",1
"['NN', 'VB']",1
"['NNS', 'VBZ']",1
"['PRP', 'VB']",1
"['PRP', 'VBP']",1
,1
"['NNS', 'VBP']",1
"['PRP', 'VBD']",1
"['NNS', 'VBP']",1
"['PRP', 'VBD']",1
,1
"['PRP', 'VBP']",1
"['NN', 'VBD']",1
"['PRP', 'VBP']",1
"['NN', 'VBD']",1
"['PRP', 'VBZ']",1
,1
"['NNS', 'VB']",1
"['PRP', 'VBP']",1
"['NN', 'VB']",1
"['NN', 'VBZ']",1
"['PRP', 'VBZ']",1
"['NNS', 'VBP']",1
,1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
,1
"['PRP', 'RB']",1
"['NN', 'VBZ']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBD']",1
"['PRP', 'VBN']",1
"['DT', 'VBZ']",1
"['PRP', 'VBN']",1
"['PRP', 'VBP']",1
"['NN', 'VBP']",1
"['PRP', 'VBP']",1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
"['NNS', 'VBP']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBD']",1
"['PRP', 'VB']",1
"['PRP', 'VBP']",1
"['NN', 'VB']",1
"['NNS', 'VBP']",1
"['PRP', 'VB']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
"['PRP', 'VBD']",1
"['PRP', 'VB']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBD']",1
"['NN', 'VBZ']",1
,1
"['NN', 'VBZ']",1
,1
"['PRP', 'VBZ']",1
"['NNS', 'VBP']",1
"['PRP', 'VB']",1
"['NNS', 'VBP']",1
"['PRP', 'VBP']",1
"['NN', 'VBZ']",1
"['NNS', 'VBP']",1
"['NNS', 'VBP']",1
"['NN', 'VBZ']",1
"['NN', 'VB']",1
"['PRP', 'VBP']",1
"['NN', 'VBG']",1
"['NN', 'VBP']",1
"['NN', 'VBZ']",1
"['NN', 'VBZ']",1
"['NNP', 'VB']",1
"['IN', 'UH']",1
"['NNS', 'VBG']",1
"['DT', 'VBZ']",1
"['NN', 'VBZ']",1
"['DT', 'VBZ']",1
"['NNS', 'VBP']",1
"['NNS', 'VB']",1
"['PRP', 'VBP']",1
"['NN', 'VB']",1
"['PRP', 'VBP']",1
,1
"['NNS', 'VBP']",1
"['NNS', 'VB']",1
"['PRP', 'VBZ']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['DT', 'VB']",1
"['PRP', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['NNS', 'VBP']",1
"['PRP', 'VBP']",1
,1
"['NNS', 'VBD']",1
"['PRP', 'VBP']",1
"['PRP', 'VBZ']",1
"['NN', 'VB']",1
,1
"['NNS', 'VB']",1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
"['NN', 'VBZ']",1
"['PRP', 'VBN']",1
"['NNS', 'VBN']",1
"['NNS', 'VB']",1
"['NNS', 'VBP']",1
"['PRP', 'VBD']",1
"['PRP', 'VB']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
"['NN', 'VB']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBD']",1
,1
"['PRP', 'VBZ']",1
"['NN', 'VBN']",1
"['PRP', 'VB']",1
"['PRP', 'VBZ']",1
"['NN', 'VBN']",1
"['NNP', 'VBZ']",1
"['PRP', 'VB']",1
"['NN', 'VB']",1
"['PRP', 'VBN']",1
"['NNS', 'VBP']",1
"['NN', 'VBZ']",1
"['WP', 'VBP']",1
,1
"['PRP', 'VBP']",1
"['NNS', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'VB']",1
"['DT', 'VBD']",1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
"['NN', 'VBD']",1
"['NNS', 'VBD']",1
"['PRP', 'VBD']",1
"['PRP', 'VBP']",1
"['PRP', 'VBZ']",1
"['NN', 'VB']",1
"['NN', 'VBZ']",1
,1
"['PRP', 'VBZ']",1
"['PRP', 'VBP']",1
"['NNS', 'VBP']",1
"['PRP', 'VBP']",1
"['JJS', 'VBP']",1
"['PRP', 'VB']",1
"['JJS', 'VBP']",1
"['PRP', 'VB']",1
"['PRP', 'VBN']",1
"['PRP', 'VBP']",1
"['NN', 'NNS']",1
"['PRP', 'VBZ']",1
"['NN', 'VBP']",1
"['PRP', 'VBP']",1
,1
"['PRP', 'VBP']",1
"['NNS', 'VBP']",1
"['PRP', 'VBN']",1
"['NNS', 'VBP']",1
"['NNS', 'VBP']",1
"['PRP', 'VBN']",1
"['PRP', 'VB']",1
"['PRP', 'VBD']",1
"['PRP', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'IN']",1
"['JJ', 'NN']",1
"['NNS', 'VB']",1
"['NNS', 'VBP']",1
"['NN', 'VBZ']",1
"['NNS', 'VBP']",1
"['NNS', 'VB']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['NN', 'VB']",1
"['NN', 'VB']",1
"['NNS', 'VB']",1
"['NN', 'VBD']",1
"['NNS', 'VBP']",1
"['PRP', 'VBP']",1
"['PRP', 'IN']",1
"['PRP', 'VBP']",1
"['NN', 'VBZ']",1
"['PRP', 'VBD']",1
"['PRP', 'VBZ']",1
"['PRP', 'VBP']",1
"['PRP', 'VBD']",1
,1
"['NN', 'VB']",1
"['PRP', 'VBP']",1
,1
"['CD', 'VBZ']",1
"['PRP', 'VBZ']",1
"['DT', 'VBZ']",1
"['NNS', 'VBG']",1
"['NNS', 'VBP']",1
"['DT', 'VB']",1
"['DT', 'VBZ']",1
"['PRP', 'VB']",1
"['NNS', 'VBP']",1
"['PRP', 'VB']",1
"['PRP', 'IN']",1
"['NN', 'VBZ']",1
"['PRP', 'VBP']",1
"['PRP', 'VBP']",1
"['NN', 'VBD']",1
"['PRP', 'VBZ']",1
"['NN', 'VBZ']",1
"['PRP', 'VB']",1
"['PRP', 'VBP']",1
"['NNS', 'VBP']",1
"['PRP', 'VBN']",1
"['NNS', 'NN']",1
"['PRP', 'VB']",1
,1
"['NNP', 'VBD']",1
"['PRP', 'VB']",1
"['PRP', 'VB']",1
,1
"['PRP', 'VBP']",1
"['PRP', 'VB']",1
"['PRP', 'VBZ']",1
"['NN', 'VBZ']",1
"['DT', 'VBZ']",1
